Sexe;LS;L1-2;L1-3;L1-4;L1-5;L1-6;L1-7;L1-8;L1-9;L1-10;L2-3;L2-4;L2-5;L2-6;L2-7;L2-8;L2-9;L2-10;L3-4;L3-5;L3-6;L3-7;L3-8;L3-9;L3-10;L4-5;L4-6;L4-7;L4-8;L4-9;L4-10;L5-6;L5-7;L5-8;L5-9;L5-10;L6-7;L6-8;L6-9;L6-10;L7-8;L7-9;L7-10;L8-9;L8-10;L9-10
0;47.6889;3.4954;7.6146;10.5112;9.9173;10.9022;8.8343;4.2009;4.4242;13.7132;4.1467;7.147;6.4395;8.0981;6.1684;3.6844;4.3591;10.3819;4.0492;2.305;5.1904;4.0178;5.9488;6.6453;6.3518;3.1671;7.9715;7.5922;9.8388;10.559;6.6626;4.8045;4.6046;8.022;8.6792;4.3687;2.0844;7.3396;7.6967;4.3328;5.2822;5.6816;5.8668;0.7312;10.9003;11.4083
0;54.9471;3.1746;7.8811;10.9045;10.4234;11.4794;9.5926;4.4731;4.7214;14.5029;4.7451;7.8534;7.2585;8.9759;7.2754;4.1116;4.7368;11.4817;4.4714;2.5917;5.572;4.7129;6.489;7.1736;6.8275;3.2402;8.8187;8.6993;10.7302;11.4362;7.3253;5.5839;5.647;8.9488;9.6093;4.8338;1.9872;7.9038;8.2771;4.8542;5.9166;6.2957;6.4379;0.7103;11.8758;12.3974
1;51.694;4.136;8.6752;12.2737;11.5193;12.4388;10.5386;5.0757;5.2598;15.9772;4.6378;8.2086;7.4372;9.3296;7.5274;4.6052;5.254;12.138;4.8074;2.8591;5.9188;4.6554;6.6499;7.3552;7.572999999999999;3.4132;9.0937;8.6152;11.3552;12.0756;7.6293;5.6805;5.3214;9.2566;9.9274;5.2168;1.9016;8.0945;8.4691;5.2154;6.2557;6.6770000000000005;6.5284;0.7282;12.5252;13.0458
1;53.2054;5.027;9.3466;13.1187;12.3339;13.0718;10.9116;5.2932;5.4804;16.5713;4.4069;8.2095;7.3861;9.2256;7.2153;4.691;5.4775;11.9135;5.0057;2.9891;6.0705;4.7148;6.8927;7.6918;7.6258;3.98;9.4145;8.955;11.7799;12.6008;8.0027;5.4362;5.1978;9.4693;10.21;5.0061;2.1618;8.3826;8.7877;4.9734;6.2787;6.7408;6.5623;0.8353;12.6372;13.1994
0;48.4224;3.8918;8.0281;10.8572;10.2754;11.2738;9.3408;4.438;4.7147;14.544;4.2052;7.0339;6.4327;8.2845;6.426;4.0361;4.7952;10.8941;3.8876;2.2492;5.2693;3.9771;6.1720000000000015;6.9182;6.766;2.9668;7.8724;7.2883;9.9308;10.705;6.7663;4.9066;4.4447;8.1886;8.8874;4.7961;1.9332;7.4675;7.8194;4.7606;5.6234;6.0462;6.0649;0.8;11.5076;12.0269
1;50.5459;4.3337;9.1193;12.6918;11.8895;12.872;10.5859;5.0529;5.2127;16.276;4.8489;8.4441;7.6176;9.4292;7.3165;4.1205;4.8933;12.1947;4.7117;2.7724;5.8564;4.5723;6.5341;7.3544;7.452000000000001;3.7259;8.822000000000003;8.5487;11.1267;11.9714;7.4354;5.0991;5.0001;8.9413;9.702;4.9174;2.3068;8.3203;8.7399;4.9332;6.0267;6.483;6.7236;0.8619;12.4442;13.0351
0;48.5615;3.5983;8.1561;11.3252;10.521;11.4503;9.584;4.5872;4.8065;14.6648;4.595;7.8875;6.9405;8.5345;6.8571;4.1616;4.7686;11.2234;4.6528;2.3781;5.1997;4.3575;6.5616;7.2007;6.7132;3.668;8.6145;8.5451;10.978;11.6399;7.2743;4.9468;5.0272;8.7426;9.353;4.6926;1.9401;7.7907;8.1549;4.7324;5.8528;6.2306;6.3273;0.6676;11.864;12.3484
0;56.8718;4.1141;8.7813;12.1825;11.2562;12.5808;10.1613;4.8395;4.9982;16.3218;4.7395;8.1588;7.2075;9.4217;7.127000000000002;4.3496;4.9017;12.4532;4.6561;2.4755;5.9989;4.4751;6.7391;7.3116;7.7915;3.7748;9.1236;8.5298;11.2361;11.8284;7.7932;5.3624;4.8902;8.8909;9.4268;5.5034;2.4218;8.3967;8.6763;5.4901;6.0414;6.3674;7.2010000000000005;0.6032;13.0045;13.4174
0;54.44600000000001;3.9383;8.5062;11.808;10.9281;12.3522;10.012;4.7611;4.9646;15.3189;4.6237;7.9762;7.0243;9.274;7.1232;4.2637;4.9569;11.5862;4.5568;2.428;5.9223;4.6204;6.6102;7.3504;7.0437;3.4737;8.9492;8.5834;11.0119;11.7723;7.1977;5.4933;5.2124;8.8084;9.5146;4.9367;2.3722;8.3008;8.693999999999999;4.9176;5.9451;6.3729;6.6204;0.7682;12.1821;12.7442
1;48.8405;4.4417;8.8636;11.9865;11.2314;12.1253;10.1518;4.8751;4.9869;15.2937;4.5087;7.647;6.8288;8.6376;6.8735;4.0446;4.8716;11.1067;4.4694;2.3966;5.2853;4.3124;6.2675;7.1614;6.655;3.2616;8.4425;8.2742;10.5251;11.4456;6.9906;5.1827;5.1336;8.5355;9.3989;4.7262;2.008;7.7268;8.2413;4.7083;5.7218;6.2608;6.2765;0.9263;11.6222;12.3155
